instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Norwalk Community College,1,20382361,50586627,4562,1174,1728,3500,2832,426,6685
Northwestern Connecticut Community College,1,3962970,14661517,4247,690,1341,1670,2832,120,1711
Paier College of Art Inc,3,1925732,1974573,4615,4059,2000,6524,12600,39,227
Porter and Chester Institute,3,47868426,51906732,6011,5000,500,9475,22204,,2845
Post University,3,39223804,35612242,5615,3071,11690,8427,23250,221,2590
Quinnipiac University,2,228446024,265297027,5757,5601,14050,9731,31100,2013,7758
Sacred Heart University,2,134124267,144654385,5671,3581,12173,11002,30090,1435,6023
Saint Joseph College,2,30386000,42466000,5195,3806,12737,6936,26502,441,1935
Gateway Community College,1,18648468,44661721,4126,1186,2106,3242,2832,496,6847
St Vincent's College,2,5150665,7303084,5644,2200,1417,7688,12090,86,531
Southern Connecticut State University,1,82431003,176186627,4627,3749,4546,6479,3742,2158,11815
Trinity College,2,93418623,156950717,6086,4593,32013,6199,38900,597,2438
Tunxis Community College,1,13201522,32716774,4291,2591,1757,3832,2832,276,4496
Wesleyan University,2,122073000,231400000,7813,1126,30157,4510,39822,824,3148
Western Connecticut State University,1,41412726,102090086,2959,4265,6882,5837,3742,1047,6617
Yale University,2,383916112,2912061896,4983,4560,34491,7998,36500,3512,11593
Delaware Technical and Community College-Owens,1,18681023,44568506,3932,2075,1136,2650,2472,421,4787
Delaware Technical and Community College-Terry,1,12436902,30610164,3775,2001,895,2840,2472,285,3406
Delaware Technical and Community College-Stanton-Wilmington,1,25104814,64197594,3740,2046,932,2848,2472,522,7488
Delaware State University,1,36933624,99612961,4658,3118,4495,9898,5701,559,3609
University of Delaware,1,384596106,841784457,4641,5823,5708,7274,8540,4497,21138
Goldey-Beacom College,2,18732866,25946674,4921,760,10535,6120,17580,396,1226
Wesley College,2,34120462,38719641,2092,1447,2293,9325,18950,397,2426
