instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Dorsey Business Schools,3,11319343,12227652,4698,5206,581,6394,14640,,1669
Eastern Michigan University,1,193390482,310829392,5062,549,3764,6952,7148,4350,22893
Ferris State University,1,124708442,217405802,5418,5180,4831,7198,9480,3149,13865
Glen Oaks Community College,1,4775264,18043758,4391,1632,1496,4277,3910,157,1691
Kettering University,2,58255976,67758495,5464,1533,14328,9287,27584,509,2410
Gogebic Community College,1,3678561,11328948,4008,2247,729,3822,3379,158,1162
Grace Bible College,2,2257771,4736876,5174,1879,4478,7478,13400,37,194
Cornerstone University,2,28225892,34240905,4631,1741,12081,5848,19960,673,2606
Grand Rapids Community College,1,67635867,150796672,4208,1961,1239,4218,4344,1645,16944
Grand Valley State University,1,220997231,369902558,5579,666,3283,6053,8630,4907,24408
Great Lakes Christian College,2,2192247,3960048,5171,1940,2655,6827,10800,33,233
Henry Ford Community College,1,57019191,113619419,4637,1875,1824,4947,3120,1415,17542
Hope College,2,75610423,110843296,5209,1616,11090,7005,25500,692,3230
Jackson Community College,1,27913566,55580154,5837,1769,1750,5967,3048,598,7729
Kalamazoo College,2,45568602,56409312,5500,1764,15569,5502,32643,304,1384
Kalamazoo Valley Community College,1,20057835,63206297,4267,1485,962,4644,3503,867,11999
Kellogg Community College,1,15092112,48751111,5949,2154,1375,5608,3550,849,5976
Kirtland Community College,1,5647795,19242035,2311,1484,996,2150,4260,180,1972
Lake Michigan College,1,11555676,37639405,4987,1931,1612,4716,3240,353,4688
Lake Superior State University,1,20755682,44936755,4566,4228,3760,5842,8184,504,2588
Lansing Community College,1,51316887,138247876,3875,1655,1384,5694,4020,1490,21123
Lawrence Technological University,2,58271670,59265578,4319,1841,9923,11975,22638,956,4488
Macomb Community College,1,49368705,140761082,4267,1610,890,2638,3410,2582,24376
Madonna University,2,41653392,42577439,4051,1275,5952,5554,13050,919,4211
Marygrove College,2,18001024,27995527,5332,2069,7360,8189,16000,1114,2909
Rochester College,2,11007872,10873935,4973,1616,5462,6645,15792,268,892
University of Michigan-Ann Arbor,1,957414000,5629823000,5944,602,10067,6727,11470,11587,41674
Michigan State University,1,636309273,1968632745,5716,2968,3621,6326,10913,11080,47071
Michigan Technological University,1,97094000,208587000,5622,2066,6154,6877,10500,1413,7136
University of Michigan-Dearborn,1,75888000,110467000,4835,221,3651,5855,8142,1689,8379
University of Michigan-Flint,1,64148000,98053000,5038,737,2279,5535,7474,1295,7773
Mid Michigan Community College,1,24877113,37358810,4806,2539,510,6153,3360,362,4767
Monroe County Community College,1,10131440,30902065,4462,510,4904,4354,3630,461,4624
Montcalm Community College,1,5484833,18668581,4540,2050,531,3875,3990,271,2328
Muskegon Community College,1,13498923,37000171,4148,1635,573,4153,3690,373,5144
North Central Michigan College,1,6463797,21401389,3742,657,1561,2764,3094,245,3123
Northern Michigan University,1,71939297,153128921,4442,3523,2846,5665,6840,1482,9428
Northwestern Michigan College,1,19306651,51238972,4022,2660,1191,5409,4672,534,5065
Northwood University,2,77052435,81347493,4708,1939,8986,6665,17430,2424,5462
Oakland Community College,1,48463303,215475950,6874,1336,1398,4576,3051,2219,28042
Oakland University,1,153787687,253416283,4741,477,3960,7221,9188,3345,18918
Olivet College,2,21202943,20847651,3407,1520,8494,7600,19138,195,1202
Kuyper College,2,6117682,7465800,4041,1608,3005,6956,14694,67,346
Sacred Heart Major Seminary,2,3773650,8453614,5475,1610,15000,2738,14310,66,410
Saginaw Valley State University,1,71099791,127055032,4558,648,3289,7464,6462,1576,10498
Schoolcraft College,1,35348937,86812350,4201,1773,1352,4217,3390,1255,13042
Siena Heights University,2,26421413,34423537,4578,1495,9579,10088,18610,823,2351
St Clair County Community College,1,15942104,37201138,4014,2088,968,4097,5347,571,4884
Southwestern Michigan College,1,15345158,34996696,4488,485,1750,4668,3495,256,2970
Spring Arbor University,2,47965259,60667580,5920,1736,8566,8542,19250,1134,4120
Finlandia University,2,9937904,15901835,5946,1943,6161,7038,17936,88,589
Washtenaw Community College,1,32003958,112059252,5452,1832,2725,5547,2976,1229,14202
Wayne County Community College District,1,40464885,136286421,6018,1880,3589,4211,2400,1259,20770
Wayne State University,1,296952984,815787691,5914,735,4242,6142,8247,5237,31786
West Shore Community College,1,3109533,16898426,3944,1769,366,3938,3024,178,1553
Western Michigan University,1,228609805,466521828,4391,497,4447,5869,7654,5264,24576
Alexandria Technical College,1,11276000,26793000,3989,1289,855,6462,4715,408,2550
Anoka-Ramsey Community College,1,26750000,51506000,4044,813,1570,4908,3704,777,9192
Augsburg College,2,74782166,75948065,4825,4906,13700,7022,27020,819,4010
Riverland Community College,1,12854000,29744000,4081,1864,729,5677,4576,347,3867
Bemidji State University,1,30634000,73003000,4903,2395,2386,7942,6291,873,5175
Bethany Lutheran College,2,11959906,21019618,5194,5725,8951,7127,19350,137,646
Bethel University,2,93827535,106256571,5775,5381,11282,8366,26900,1285,5386
Carleton College,2,78925879,183728965,5951,5959,23524,4900,39546,497,2009
Concordia College at Moorhead,2,77892709,106139343,6131,4052,11848,8330,25550,537,2811
Concordia University-Saint Paul,2,36188496,40090165,5369,3974,10547,8356,26400,905,2816
Dakota County Technical College,1,14495000,31669000,4077,1255,1531,6370,4460,344,3564
Martin Luther College,2,10649608,19456827,4288,4289,3378,5673,10660,139,827
Minnesota State Community and Technical College,1,24173000,52790000,4141,1116,1183,5759,4310,943,6732
Globe University,3,30862555,33259368,3990,1796,2297,11345,14940,243,2453
Minnesota West Community and Technical College,1,12460000,30176000,4375,1189,1274,5262,4464,328,3211
Gustavus Adolphus College,2,77096325,85028710,5675,4361,18013,7536,31460,586,2536
Hamline University,2,94185202,99161754,6166,4483,15342,8466,28862,1157,5166
Hennepin Technical College,1,22241000,47964000,3978,956,850,5969,4113,560,6395
Hibbing Community College-A Technical and Community College,1,7529000,17523000,4190,1635,1469,5346,4066,255,1596
The Art Institutes International Minnesota,3,38993850,40620913,5112,3101,1331,11955,22453,310,2008
Macalester College,2,74097000,151539000,5012,4851,25199,5527,37974,468,1996
South Central College,1,49406000,115582000,4276,1670,1628,5463,4178,1571,13486
Minnesota State University-Mankato,1,86636000,196395000,4720,2055,2078,7212,5631,2694,14955
Argosy University-Twin Cities,3,32472839,32942451,4474,1408,11702,17291,18360,460,2313
Metropolitan State University,1,34420000,66860000,4636,1213,750,4902,5314,1689,7354
University of Minnesota-Twin Cities,1,654419272,2706299522,5354,2971,3503,6486,9120,11979,51716
University of Minnesota-Crookston,1,11265864,29311060,4340,3196,3898,6197,7388,198,2279
Minneapolis Business College,3,6377792,7478143,4996,1342,944,8765,13760,113,335
Minneapolis College of Art and Design,2,20329655,26904233,4573,3443,10034,6844,29500,153,711
Minneapolis Community and Technical College,1,36763000,74019000,4285,795,2500,6207,4223,841,10618
Herzing University,3,6479434,6478741,6187,2132,150,7927,14500,48,328
Crossroads College,2,2153111,3097201,4237,1894,2448,6829,13880,22,170
University of Minnesota-Duluth,1,109829886,225615897,4701,2488,2447,6942,8830,2005,11664
University of Minnesota-Morris,1,14387646,43945654,4301,3458,3583,6331,8830,296,1705
Minnesota School of Business,3,92255608,102722854,4235,1852,2213,12808,14940,1202,6564
Minnesota State University-Moorhead,1,41286000,100184000,4561,2402,2168,7286,5834,1378,7510
North Hennepin Community College,1,24105000,45186000,4124,762,1058,5069,4314,752,7444
Brown College,3,21668267,23566526,5531,3445,2612,11521,17496,340,1096
Normandale Community College,1,35054000,66411000,3955,843,1705,4942,4226,997,10046
North Central University,2,16821487,20913357,4750,3677,4505,7258,14640,213,1243
Northwest Technical Institute,3,2260172,2448586,2850,1365,500,7084,15850,71,87
Northwestern College,2,46821325,63475082,5128,4159,8913,10916,22990,613,3070
Oak Hills Christian College,2,1713167,3101912,4252,2840,4003,6657,13480,27,144
Rainy River Community College,1,1492000,4602000,4244,1143,4120,4696,4337,45,338
Rochester Community and Technical College,1,23254000,48800000,4214,1291,837,5207,4359,845,6269
College of Saint Benedict,2,61665004,63890504,6595,6168,15142,8408,29388,486,2105
Saint Cloud Technical College,1,18223000,37259000,4001,1494,722,5158,4218,456,4459
Saint Cloud State University,1,92864000,208302000,4653,2104,2516,8152,5567,2946,18123
Saint Johns University,2,57441628,83936605,6496,6357,15300,7880,29388,453,2021
Saint Mary's University of Minnesota,2,59672877,64958046,4992,3454,11079,7302,24620,1693,5565
St. Olaf College,2,108878236,144135663,5180,3317,18211,6102,35500,716,3099
Crown College,2,15592515,18204925,4878,4000,8125,8119,19870,280,1221
The College of Saint Scholastica,2,76315469,68686906,5801,5128,13197,9413,27114,965,3746
University of St Thomas,2,228635685,263442993,5576,4670,13902,8562,28944,2720,10851
College of Visual Arts,2,4359462,3912933,4288,3730,6296,9136,23194,16,186
St. Catherine University,2,62888083,77325706,5093,3692,11594,7215,20744,1193,5277
Rasmussen College-St Cloud,3,105790732,95828554,4199,1488,1458,8468,15120,1219,6070
Saint Paul College - A Community and Technical College,1,21443000,44471000,4692,909,966,6682,4280,383,6010
Southwest Minnesota State University,1,20104000,48109000,4595,2341,2824,6572,5953,708,6740
Dunwoody College of Technology,2,21624589,28628402,2445,2209,1888,8005,11344,434,1546
Ridgewater College,1,17438000,39580000,4145,1299,1500,5961,4497,514,4318
Winona State University,1,52395000,131358000,4402,3065,1775,8017,5940,1589,8657
Alcorn State University,1,18286911,66717248,5074,768,5202,5668,3571,518,3334
Belhaven University,2,35521878,42427298,3212,590,8673,5531,16780,635,2883
Blue Mountain College,2,4570396,9077727,2493,240,2746,2816,7650,114,505
Copiah-Lincoln Community College,1,9131835,40359742,4941,716,1444,3329,1700,506,3740
Delta State University,1,19705880,58665745,4963,501,4310,5651,3946,752,4031
East Central Community College,1,5696520,38754930,4039,524,1612,3600,1600,354,2639
East Mississippi Community College,1,12332932,41682771,5070,365,1401,4791,1760,436,4993
Holmes Community College,1,12582918,38712694,4074,455,1104,2241,1300,712,6466
Itawamba Community College,1,17228044,63791761,5182,441,1391,5060,1600,748,7596
Jackson State University,1,48204248,166053223,5439,1137,6667,7082,4634,1447,8783
Jones County Junior College,1,12385623,40991409,4590,513,1830,4661,1948,701,5250
Meridian Community College,1,8052002,31449747,2744,443,672,2946,1600,482,3949
Millsaps College,2,28817511,37779239,6182,1681,20451,6078,24608,248,1117
University of Mississippi Main Campus,1,143937574,370093323,5593,1039,4754,6446,5106,3401,15932
Mississippi University for Women,1,12864735,37184550,5705,577,4450,5775,4423,573,2476
Mississippi Valley State University,1,14288852,55487497,4077,3532,7658,4725,4754,402,2850
Mississippi College,2,62968685,69548921,4545,1142,8037,6104,12670,1199,4796
Mississippi Gulf Coast Community College,1,22094538,73274059,5054,778,1471,4768,1800,1451,10064
Mississippi State University,1,126710829,581583345,5665,1074,5541,6060,5151,3737,18601
Northeast Mississippi Community College,1,6814365,31498895,4857,466,1180,2988,1890,437,3633
Northwest Mississippi Community College,1,15870421,57588888,4999,572,1615,2928,1700,754,8211
Pearl River Community College,1,11773772,59992848,4517,412,1411,3952,1700,614,5519
Rust College,2,7289674,15916566,5540,381,2222,4415,7620,132,1072
University of Southern Mississippi,1,102628193,280301558,5220,935,5370,7308,5096,3467,15300
Tougaloo College,2,9571402,24788889,5500,571,9642,5450,9240,169,939
William Carey University,2,28034656,31353855,3894,1500,5200,4246,9300,979,3248
Avila University,2,25947663,23781995,4768,3068,10850,6164,20250,483,1893
Baptist Bible College and Graduate School,2,6098870,6676044,4787,890,7270,5669,13610,90,557
Cox College,2,4724707,6333835,4471,4942,3572,7837,9724,102,497
Central Bible College,2,6442602,9590579,3773,1445,2451,9537,10310,141,672
Central Methodist University-College of Liberal Arts & Sciences,2,24662394,26553861,5162,3455,10702,5936,17940,535,4185
University of Central Missouri,1,67873507,165886124,6043,2156,6511,5644,5859,2291,11191
Columbia College,2,89837249,93413792,4505,3188,8579,6098,14576,3656,15556
Cottey College,2,4219022,21782204,4509,2965,6989,4766,13800,129,309
Crowder College,1,10648927,38536745,4309,804,783,4304,2280,460,4482
Culver-Stockton College,2,14631378,17629817,4973,3127,12279,6830,22250,146,754
Drury University,2,48494972,58982530,4831,3560,5487,4285,18598,1044,5489
East Central College,1,7185623,26122161,4422,1248,1979,4707,2088,374,4203
Pinnacle Career Institute,3,14578367,17368408,4102,2619,2406,5912,13350,20,1067
Evangel University,2,25917199,29287122,5504,887,7108,9135,15050,410,1955
Fontbonne University,2,37995430,38140171,4485,2676,9592,7281,19475,856,2863
Four Rivers Career Center,1,1684923,2614809,4240,4968,1000,7413,11000,,37
Ozarks Technical Community College,1,33981259,69393920,4042,1500,1452,4569,2688,1159,12884
Hannibal-Lagrange College,2,12954821,17173023,3951,2958,8620,8037,14820,257,1042
Harris-Stowe State University,1,8288685,27760722,3443,1122,1929,3785,3936,142,1886
Jefferson College,1,16592101,48642061,4390,1457,2766,4478,3072,671,5788
Kansas City Art Institute,2,19578337,20234247,5277,3440,14599,7769,28580,142,690
Lincoln University,1,16223866,53593387,4811,1487,3174,6587,4548,393,3314
Lindenwood University,2,139262317,125025710,4332,3226,6957,5764,12960,2698,10408
Linn State Technical College,1,7690894,21464083,5240,3912,1619,5149,4380,332,1142
Metropolitan Community College-Longview,1,45354229,138006617,4000,1189,1521,4628,4230,1616,19666
Maryville University of Saint Louis,2,51794928,54925944,4657,3140,10631,6062,20384,819,3534
Metro Business College of Cape Girardeau,3,1860122,4934854,4413,3994,400,5859,9555,43,667
Mineral Area College,1,9269757,27544726,4582,1724,2378,4837,3240,454,3671
Missouri Baptist University,2,31037649,26662254,5113,3060,8958,7060,16980,780,4836
Missouri College,3,14138881,15787837,4849,8593,1206,11256,13894,128,920
Missouri Southern State University,1,24856718,62020460,4484,2012,2740,4829,4290,919,5701
Missouri Valley College,2,20529300,13868447,5036,3271,9329,5704,15950,178,1789
Missouri Western State University,1,27837605,59169082,4665,2169,3956,5560,3994,667,5703
University of Missouri-Columbia,1,630497715,2721031224,4953,1720,4727,6175,7368,14531,69384
Moberly Area Community College,1,12609620,23710645,4271,1550,2543,3508,2820,513,4952
Truman State University,1,42883909,103572736,4388,1853,5393,5511,6458,1367,5781
Northwest Missouri State University,1,53027924,105157006,4923,1661,4026,5509,3778,1255,7076
College of the Ozarks,2,22726115,79930659,4607,3453,9421,4576,16600,297,1347
Park University,2,73199362,75469047,3391,2932,7862,5378,8344,2707,12775
Ranken Technical College,2,16759678,27468973,4090,3635,3672,6981,12348,392,2039
Rockhurst University,2,50326462,97761366,4923,3157,17163,6343,24950,803,3029
Saint Louis Community College-Meramec,1,54462041,204590102,5595,3806,4077,6928,3450,2058,28004
Saint Louis University-Main Campus,2,340232040,725299074,5784,3135,15142,7951,30940,3097,16317
Sanford-Brown College,3,48021518,53099643,4345,10419,1913,12079,16437,786,3699
St Louis College of Pharmacy,2,29275863,42149571,5418,2462,5980,8650,21525,179,1233
Southwest Baptist University,2,34213283,36991091,4433,3390,8035,7040,15800,837,3716
St Louis College of Health Careers,3,4697347,4782225,1717,3069,600,2291,13500,9,445
State Fair Community College,1,11738504,29657087,4514,1416,2982,3798,2880,481,4263
Stephens College,2,21756836,21256207,5097,2914,13550,6680,24150,287,1231
Southeast Missouri State University,1,59317884,145884075,5093,1541,4130,5488,5544,1675,10801
Missouri State University,1,122729689,280174211,4985,1566,4150,5472,5580,4322,22533
Three Rivers Community College,1,9355534,21899266,5131,1157,2880,5051,3852,351,3527
North Central Missouri College,1,5197372,21560814,4990,2071,2580,6329,2910,194,1802
